epid,aid
19910323,Jeremy Irons
19910316,Michael J. Fox
19910223,Alec Baldwin
19910216,Roseanne Barr
19910209,Kevin Bacon
19910119,Sting
19910112,Joe Mantegna
19901215,Dennis Quaid
19901208,Tom Hanks
19901201,John Goodman
19901117,Dennis Hopper
19901110,Jimmy Smits
19901027,Patrick Swayze
19901020,George Steinbrenner
19901006,Susan Lucci
19900929,Kyle MacLachlan
19900519,Candice Bergen
19900512,Andrew Dice Clay
19900421,Alec Baldwin
19900414,Corbin Bernsen
19900324,Debra Winger
19900317,Rob Lowe
19900224,Fred Savage
19900217,Tom Hanks
19900210,Quincy Jones
19900120,Christopher Walken
19900113,Ed O'Neill
19891216,Andie MacDowell
19891209,Robert Wagner
19891202,John Goodman
19891118,Woody Harrelson
19891111,Chris Evert
19891028,James Woods
19891021,Kathleen Turner
19891007,Rick Moranis
19890930,Bruce Willis
19890520,Steve Martin
19890513,Wayne Gretzky
19890422,Geena Davis
19890415,Dolly Parton
19890401,Mel Gibson
19890325,Mary Tyler Moore
19890225,Glenn Close
19890218,Leslie Nielsen
19890211,Ted Danson
19890128,Tony Danza
19890121,John Malkovich
19881217,Melanie Griffith
19881210,Kevin Kline
19881203,Danny DeVito
19881119,John Lithgow
19881112,Demi Moore
19881105,Matthew Modine
19881022,John Larroquette
19881015,Matthew Broderick
19881008,Tom Hanks
19880227,Judge Reinhold
19880220,Tom Hanks
19880213,Justine Bateman
19880130,Carl Weathers
19880123,Robin Williams
19871219,Paul Simon
19871212,Angie Dickinson
19871205,Danny DeVito
19871121,Candice Bergen
19871114,Robert Mitchum
19871031,Dabney Coleman
19871024,Sean Penn
19871017,Steve Martin
19870523,Dennis Hopper
19870516,Garry Shandling
19870509,Mark Harmon
19870418,John Larroquette
19870411,John Lithgow
19870328,Charlton Heston
19870321,Bill Murray
19870228,Valerie Bertinelli
19870221,Willie Nelson
19870214,Bronson Pinchot
19870131,Paul Shaffer
19870124,Joe Montana
19870124,Walter Payton
19861220,William Shatner
19861213,Steve Guttenberg
19861206,Chevy Chase
19861206,Steve Martin
19861206,Martin Short
19861122,Robin Williams
19861115,Sam Kinison
19861108,Rosanna Arquette
19861018,Malcolm-Jamal Warner
19861011,Sigourney Weaver
19860524,Anjelica Huston
19860524,Billy Martin
19860517,Jimmy Breslin
19860510,Catherine Oxenberg
19860510,Paul Simon
19860419,Tony Danza
19860412,Oprah Winfrey
19860322,George Wendt
19860322,Francis Ford Coppola
19860315,Griffin Dunne
19860222,Jay Leno
19860215,Jerry Hall
19860208,Ron Reagan
19860125,Dudley Moore
19860118,Harry Dean Stanton
19851221,Teri Garr
19851214,Tom Hanks
19851207,John Lithgow
19851123,Pee-Wee Herman
19851116,Chevy Chase
19851109,Madonna
19850413,Howard Cosell
19850406,Christopher Reeve
19850330,Mr. T
19850330,Hulk Hogan
19850216,Pamela Sue Martin
19850209,Harry Anderson
19850202,Alex Karras
19850119,Roy Scheider
19850112,Kathleen Turner
19841215,Eddie Murphy
19841208,Ringo Starr
19841201,Ed Begley Jr.
19841117,Ed Asner
19841110,George Carlin
19841103,Michael McKean
19841020,Jesse Jackson
19841013,Bob Uecker
19840512,Billy Crystal
19840512,Ed Koch
19840512,Edwin Newman
19840512,Father Guido Sarducci
19840512,Betty Thomas
19840505,Barry Bostwick
19840414,George McGovern
19840407,Michael Douglas
19840317,Billy Crystal
19840225,Edwin Newman
19840218,Jamie Lee Curtis
19840211,Robin Williams
19840128,Don Rickles
19840121,Michael Palin
19840121,Mary Palin
19840114,Father Guido Sarducci
19831210,Flip Wilson
19831203,Tom Smothers
19831203,Dick Smothers
19831119,Jerry Lewis
19831112,Teri Garr
19831105,Betty Thomas
19831022,John Candy
19831015,Danny DeVito
19831015,Rhea Perlman
19831008,Brandon Tartikoff
19830514,Ed Koch
19830507,Stevie Wonder
19830416,Susan Saint James
19830409,Joan Rivers
19830319,Robert Guillaume
19830312,Bruce Dern
19830226,Beau Bridges
19830226,Jeff Bridges
19830219,Howard Hesseman
19830205,Sid Caesar
19830129,Rick Moranis
19830129,Dave Thomas
19830122,Lily Tomlin
19821211,Eddie Murphy
19821204,Tom Smothers
19821204,Dick Smothers
19821120,Drew Barrymore
19821113,Robert Blake
19821030,Michael Keaton
19821023,Howard Hesseman
19821009,Ron Howard
19821002,Louis Gossett Jr.
19820925,Chevy Chase
19820522,Olivia Newton-John
19820515,Danny DeVito
19820424,Robert Culp
19820417,Johnny Cash
19820410,Daniel J. Travanti
19820327,Blythe Danner
19820320,Robert Urich
19820227,Elizabeth Ashley
19820220,Bruce Dern
19820206,James Coburn
19820130,John Madden
19820123,Robert Conrad
19811212,Bill Murray
19811205,Tim Curry
19811114,Bernadette Peters
19811107,Lauren Hutton
19811031,Donald Pleasence
19811017,George Kennedy
19811010,Susan Saint James
19810307,Bill Murray
19810221,Charlene Tilton
19810214,Deborah Harry
19810207,Sally Kellerman
19810124,Robert Hays
19810117,Karen Black
19810110,Ray Sharkey
19801220,David Carradine
19801213,Jamie Lee Curtis
19801206,Ellen Burstyn
19801122,Malcolm McDowell
19801115,Elliott Gould
19800524,Buck Henry
19800517,Steve Martin
19800510,Bob Newhart
19800419,Strother Martin
19800412,Burt Reynolds
19800405,Richard Benjamin
19800405,Paula Prentiss
19800308,Rodney Dangerfield
19800223,Kirk Douglas
19800216,Elliott Gould
