aired,epid,epno,sid
"April 12, 1980",19800412,15,5
"April 5, 1980",19800405,14,5
"March 15, 1980",19800315,13,5
"March 8, 1980",19800308,12,5
"February 23, 1980",19800223,11,5
"February 16, 1980",19800216,10,5
"February 9, 1980",19800209,9,5
"January 26, 1980",19800126,8,5
"December 22, 1979",19791222,7,5
"December 15, 1979",19791215,6,5
"December 8, 1979",19791208,5,5
"November 17, 1979",19791117,4,5
"November 10, 1979",19791110,3,5
"November 3, 1979",19791103,2,5
"October 20, 1979",19791020,1,5
"October 13, 1979",19791013,0,5
"May 26, 1979",19790526,19,4
"May 19, 1979",19790519,18,4
"May 12, 1979",19790512,17,4
"April 14, 1979",19790414,16,4
"April 7, 1979",19790407,15,4
"March 17, 1979",19790317,14,4
"March 10, 1979",19790310,13,4
"February 24, 1979",19790224,12,4
"February 17, 1979",19790217,11,4
"February 10, 1979",19790210,10,4
"January 27, 1979",19790127,9,4
"December 16, 1978",19781216,8,4
"December 9, 1978",19781209,7,4
"December 2, 1978",19781202,6,4
"November 18, 1978",19781118,5,4
"November 11, 1978",19781111,4,4
"November 4, 1978",19781104,3,4
"October 21, 1978",19781021,2,4
"October 14, 1978",19781014,1,4
"October 7, 1978",19781007,0,4
"May 20, 1978",19780520,19,3
"May 13, 1978",19780513,18,3
"April 22, 1978",19780422,17,3
"April 15, 1978",19780415,16,3
"April 8, 1978",19780408,15,3
"March 25, 1978",19780325,14,3
"March 18, 1978",19780318,13,3
"March 11, 1978",19780311,12,3
"February 25, 1978",19780225,11,3
"February 18, 1978",19780218,10,3
"January 28, 1978",19780128,9,3
"January 21, 1978",19780121,8,3
"December 17, 1977",19771217,7,3
"December 10, 1977",19771210,6,3
"November 19, 1977",19771119,5,3
"November 12, 1977",19771112,4,3
"October 29, 1977",19771029,3,3
"October 15, 1977",19771015,2,3
"October 8, 1977",19771008,1,3
"September 24, 1977",19770924,0,3
"May 21, 1977",19770521,21,2
"May 14, 1977",19770514,20,2
"April 23, 1977",19770423,19,2
"April 16, 1977",19770416,18,2
"April 9, 1977",19770409,17,2
"March 26, 1977",19770326,16,2
"March 19, 1977",19770319,15,2
"March 12, 1977",19770312,14,2
"February 26, 1977",19770226,13,2
"January 29, 1977",19770129,12,2
"January 22, 1977",19770122,11,2
"January 15, 1977",19770115,10,2
"December 11, 1976",19761211,9,2
"November 27, 1976",19761127,8,2
"November 20, 1976",19761120,7,2
"November 13, 1976",19761113,6,2
"October 30, 1976",19761030,5,2
"October 23, 1976",19761023,4,2
"October 16, 1976",19761016,3,2
"October 2, 1976",19761002,2,2
"September 25, 1976",19760925,1,2
"September 18, 1976",19760918,0,2
"July 31, 1976",19760731,23,1
"July 24, 1976",19760724,22,1
"May 29, 1976",19760529,21,1
"May 22, 1976",19760522,20,1
"May 15, 1976",19760515,19,1
"May 8, 1976",19760508,18,1
"April 24, 1976",19760424,17,1
"April 17, 1976",19760417,16,1
"March 13, 1976",19760313,15,1
"February 28, 1976",19760228,14,1
"February 21, 1976",19760221,13,1
"February 14, 1976",19760214,12,1
"January 31, 1976",19760131,11,1
"January 24, 1976",19760124,10,1
