impid,aid,name
3863,Chris Redd,Jaleel White
3864,Chris Redd,Wesley Snipes
3112,Kenan Thompson,Sinbad
3771,Melissa Villasenor,Gwen Stefani
3746,Kate McKinnon,Betsy DeVos
3835,Kate McKinnon,Robert Mueller
3849,Alex Moffat,Chris Harrison
3850,Cecily Strong,Rebecca Kufrin
3851,Sterling K. Brown,Common
3853,Beck Bennett,Guillermo del Toro
3857,Pete Davidson,Timothée Chalamet
3829,Kate McKinnon,Frances McDormand
3852,Alex Moffat,Willem Dafoe
3854,Chris Redd,Jordan Peele
3856,Melissa Villasenor,Sally Hawkins
3858,Sterling K. Brown,Ben Carson
3860,Pete Davidson,Jared Kushner
3859,Leslie Jones,Candy Carson
3842,Cecily Strong,Hope Hicks
3841,Beck Bennett,Brian Kilmeade
3843,Chris Redd,Louis Farrakhan
3845,Kate McKinnon,Brigitte Bardot
3846,Cecily Strong,Catherine Deneuve
3847,Natalie Portman,Jackie Onassis
3848,Leslie Jones,Michelle Obama
1725,Will Ferrell,George W. Bush
3839,Leslie Jones,Condoleezza Rice
3831,Beck Bennett,Ronny Jackson
3749,Aidy Bryant,Paula Deen
3838,Mikey Day,Pitbull
3750,Alex Moffat,Casey Affleck
3836,Kyle Mooney,Jeff Bezos
3825,Bill Murray,Steve Bannon
3808,Leslie Jones,Oprah Winfrey
3827,Chris Redd,Eddie Glaude
3828,Pete Davidson,Lil Pump
3830,Chris Redd,Stedman Graham
3822,Kevin Hart,Shaquille O'Neal
3823,Alex Moffat,Ernie Johnson Jr.
3824,Chris Redd,Kenny Smith
3819,Mikey Day,Michael Flynn
3818,Alex Moffat,Billy Bush
3816,Kate McKinnon,Julian Assange
3817,Alex Moffat,Brady Skjei
3800,Mikey Day,Roy Moore
3801,Tiffany Haddish,Cardi B
3802,Tiffany Haddish,Mary J. Blige
3494,Beck Bennett,Nick Offerman
3811,Pete Davidson,Eminem
3810,Mikey Day,John Oliver
3807,Heidi Gardner,Kristen Schaal
3804,Alex Moffat,Kit Harington
3805,Chris Redd,Offset
3806,Chris Redd,Sterling K. Brown
3697,Cecily Strong,Lin-Manuel Miranda
3194,Kenan Thompson,LL Cool J
3809,Melissa Villasenor,Celine Dion
3705,Mikey Day,Tim Kaine
3815,Chris Redd,Katt Williams
3795,Alex Moffat,Paul Manafort
2035,Alec Baldwin,Tony Bennett
3797,Beck Bennett,Drew Carey
3342,Kate McKinnon,Tilda Swinton
3796,Alex Moffat,Chris Hemsworth
3495,Cecily Strong,Sofia Vergara
3799,Melissa Villasenor,Ariana Grande
3792,Aidy Bryant,Karen Pence
3246,Cecily Strong,Rachel Maddow
3793,Leslie Jones,Viola Davis
3794,Cecily Strong,Ivana Trump
3786,Gal Gadot,Gigi Hadid
3787,Gal Gadot,Kendall Jenner
3790,Leslie Jones,NeNe Leakes
3789,Kate McKinnon,Bella Hadid
3791,Luke Null,Blake Shelton
3785,Melissa Villasenor,Carmen Yulín Cruz
3693,Michael Che,Lester Holt
3779,Mikey Day,Paul Ryan
3744,Melissa McCarthy,Sean Spicer
3745,Bobby Moynihan,Glenn Thrush
3702,Sasheer Zamata,Lupita Nyong'o
3774,Beck Bennett,Mark Halperin
3775,Bobby Moynihan,Mike Barnicle
3778,Mikey Day,Greg Lee
3465,Kenan Thompson,Neil deGrasse Tyson
3767,Jimmy Fallon,John Travolta
3768,Harry Styles,Mick Jagger
3772,Pete Davidson,David Blaine
3770,Kate McKinnon,Kristen Stewart
3769,Cecily Strong,Liza Minnelli
3513,Sasheer Zamata,Diana Ross
3763,Cecily Strong,Kendall Jenner
3252,Kate McKinnon,Cecilia Giminez
3764,Alec Baldwin,Bill O'Reilly
3765,Cecily Strong,Malia Zimmerman
3762,Alex Moffat,Al Franken
3663,Beck Bennett,Jake Tapper
3761,Vanessa Bayer,Michelle Friedland
3760,Pete Davidson,William Canby Jr.
3759,Kyle Mooney,Richard Clifton
3757,Cecily Strong,Marilyn Milian
3758,Kenan Thompson,Douglas McIntosh
3557,Sasheer Zamata,Beyoncé
3742,Beck Bennett,Malcolm Turnbull
3741,Alex Moffat,Enrique Peña Nieto
3743,Kenan Thompson,Robert Mugabe
3748,Kristen Stewart,Gisele Bundchen
3751,Beck Bennett,Roger Goodell
3753,Leslie Jones,Samuel L. Jackson
3427,Kate McKinnon,Justin Bieber
3752,Bobby Moynihan,Bill Belichick
3738,Bobby Moynihan,Jim Acosta
3739,Cecily Strong,Sheri Dillon
3740,Kate McKinnon,Susan B. Anthony
3734,John Cena,Rob Gronkowski
3735,Alex Moffat,Conor McGregor
3736,Bobby Moynihan,John Daly
3094,Jason Sudeikis,Mitt Romney
3727,Mikey Day,Joseph Dunford
3728,Mikey Day,Franklin Roosevelt
3729,Kristen Wiig,Dana Bash
3731,Kate McKinnon,Kayleigh McEnany
3733,Kyle Mooney,David Axelrod
3730,Cecily Strong,Gloria Borger
3732,Kenan Thompson,Van Jones
3726,Dave Chappelle,Lil Jon
3722,Tom Hanks,Chris Wallace
3723,Tom Hanks,Sully Sullenberger
3724,Tom Hanks,Ron Howard
3710,Beck Bennett,Ken Karpowicz
3715,Michael Che,James Carter
3714,Leslie Jones,Patrice Brock
3713,Kyle Mooney,Karl Becker
