sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
15,5,1,1,0,1,0,5,5,6,1,1,3,5.3,8,5.4,7,7.1,0,,5.0,0,,3,4.0,2,9.0,0,,5.7,0,,21,6.1,12.0,2,6.5,5,6.4,5,6.3,0,,6.4,5,6.2,10,5.8,11,6.2
15,4,1,2,0,0,2,4,9,4,2,0,2,7.0,12,5.4,7,7.2,0,,4.0,0,,2,3.0,2,9.0,0,,6.0,0,,24,6.1,16.0,1,7.0,10,5.9,5,6.4,0,,6.1,4,6.2,11,5.8,15,6.1
15,3,1,2,0,0,0,4,7,8,2,0,3,7.0,11,6.1,7,7.3,0,,7.0,0,,4,4.5,3,8.0,0,,5.8,0,,24,6.5,13.0,2,7.5,7,7.3,4,7.0,0,,7.1,4,6.8,9,6.3,15,7.0
42,10,13,23,0,2,3,16,27,38,27,13,47,7.4,42,6.8,30,6.2,3,8.0,28.0,7,5.7,11,6.8,6,6.0,1,8.0,6.4,0,,162,7.0,96.0,38,7.5,30,6.8,24,6.3,2,8.0,7.1,44,7.3,19,6.8,60,6.5
42,9,13,22,2,3,7,14,33,39,16,4,39,6.5,44,6.3,33,6.8,1,8.0,25.0,4,6.0,9,6.4,9,7.4,0,,6.8,0,,153,6.5,95.0,33,6.4,34,6.4,23,6.6,1,8.0,6.5,46,6.9,19,6.4,55,6.1
42,5,15,18,1,7,13,12,40,51,25,7,50,6.4,62,6.2,33,6.6,3,8.0,37.0,6,6.7,15,6.3,10,5.9,1,10.0,6.3,0,,189,6.5,114.0,41,6.3,46,6.2,23,6.8,1,8.0,6.4,62,6.9,20,6.8,68,6.0
42,11,28,18,8,8,22,27,42,19,8,3,48,5.4,50,5.4,32,5.4,3,7.7,28.0,5,4.9,11,5.9,7,5.4,1,7.0,5.5,0,,183,5.4,109.0,41,5.4,38,5.2,24,5.5,2,8.0,5.4,43,5.6,19,6.2,69,5.5
42,4,12,77,1,3,0,7,16,45,70,57,87,8.3,76,7.8,45,7.7,8,8.9,52.0,13,7.5,20,7.9,12,7.2,1,10.0,7.8,0,,288,8.0,171.0,70,8.4,55,7.9,33,7.8,6,8.6,8.1,83,8.2,23,7.4,99,7.6
42,6,27,134,9,5,3,4,19,35,48,80,105,7.8,115,8.4,53,7.8,6,8.7,57.0,14,6.8,23,8.5,14,7.2,2,7.0,7.9,0,,364,8.1,226.0,87,8.0,90,8.4,39,7.9,3,8.7,8.2,81,8.0,30,7.7,150,8.0
42,7,20,26,5,7,2,14,26,45,24,11,46,6.7,53,6.3,33,6.5,2,5.5,30.0,5,4.1,12,6.7,9,7.0,0,,6.4,0,,180,6.6,108.0,39,6.9,40,6.0,24,6.3,1,1.0,6.4,49,6.7,20,7.2,66,6.3
42,8,9,20,0,2,3,11,21,46,45,13,50,7.6,45,6.8,35,7.0,2,9.0,30.0,8,7.1,11,6.7,8,7.3,0,,7.2,0,,170,7.2,106.0,40,7.7,33,6.9,27,6.9,2,9.0,7.2,56,7.1,21,7.1,58,7.1
42,2,18,59,2,1,2,8,23,48,56,40,75,8.1,72,7.4,42,7.5,2,10.0,50.0,16,8.1,18,7.9,10,8.0,0,,8.0,0,,257,7.7,148.0,57,8.1,52,7.3,31,7.3,1,10.0,7.6,69,8.1,23,7.5,92,7.2
42,1,16,62,2,2,5,12,20,58,71,31,73,8.0,76,7.3,40,7.7,9,8.8,55.0,15,7.1,20,7.7,13,8.3,1,9.0,7.8,0,,279,7.7,154.0,56,8.2,54,7.0,27,7.4,7,8.6,7.6,73,8.0,24,7.2,90,7.2
42,3,22,22,2,4,9,22,40,46,25,8,49,6.5,65,6.2,31,6.3,2,10.0,35.0,5,6.6,17,7.0,8,6.1,0,,7.0,0,,200,6.4,121.0,42,6.4,46,5.9,23,6.4,1,10.0,6.2,62,6.7,19,6.8,67,5.9
3,14,0,6,0,3,2,5,6,8,4,2,8,7.3,6,5.5,15,6.9,0,,4.0,2,10.0,1,5.0,1,10.0,0,,8.8,0,,36,6.8,25.0,5,7.2,5,5.8,14,6.7,0,,6.8,6,7.4,16,6.4,21,6.8
3,15,0,13,1,0,1,8,4,13,6,5,13,8.5,6,7.0,24,7.4,0,,6.0,2,10.0,1,4.0,3,7.3,0,,7.1,0,,51,7.5,37.0,10,8.4,5,7.7,21,7.4,0,,7.8,14,8.2,18,6.9,27,7.4
3,18,1,29,1,1,3,2,2,10,14,14,14,8.7,21,8.6,27,8.6,0,,12.0,2,10.0,4,8.0,5,8.4,0,,8.6,0,,77,8.3,51.0,11,8.3,17,8.8,22,8.7,0,,8.7,13,7.6,17,8.5,45,8.8
3,12,1,9,0,0,2,4,4,14,6,3,9,7.6,8,7.3,19,7.4,0,,6.0,2,10.0,2,7.5,2,7.0,0,,8.2,0,,43,7.3,30.0,6,7.2,6,7.3,17,7.4,0,,7.5,10,7.3,16,7.4,25,7.6
3,11,0,10,0,1,3,4,4,10,9,2,10,8.3,9,7.5,18,6.8,0,,6.0,3,9.7,1,3.0,2,7.0,0,,7.3,0,,43,7.4,31.0,6,8.1,8,7.9,16,6.8,0,,7.5,9,8.2,19,6.9,27,7.2
3,17,0,5,0,0,2,5,4,14,4,1,8,7.2,5,5.7,16,7.1,0,,7.0,2,10.0,2,5.5,3,7.3,0,,7.4,0,,35,7.0,22.0,5,6.7,3,6.3,13,7.1,0,,7.0,7,6.7,13,7.3,21,7.1
3,16,0,9,0,0,2,1,3,16,3,3,10,7.9,5,7.1,17,7.5,0,,7.0,3,9.0,1,7.0,3,7.7,0,,8.2,0,,37,7.7,25.0,6,7.6,4,7.8,14,7.4,0,,7.6,8,7.9,11,7.9,22,7.5
3,13,1,5,1,0,2,5,15,7,4,1,8,6.6,12,6.3,15,6.6,0,,9.0,3,7.3,3,6.0,3,5.3,0,,6.2,0,,41,6.5,26.0,4,6.8,9,6.5,12,6.7,0,,6.8,6,6.8,14,7.4,28,6.5
3,10,2,13,0,0,0,4,1,18,9,2,11,7.6,9,8.3,21,7.6,0,,8.0,4,8.8,2,7.0,2,7.5,0,,8.0,0,,49,7.6,33.0,6,7.0,7,8.6,19,7.6,0,,7.8,11,7.9,15,7.5,29,7.7
3,9,0,14,2,0,2,1,8,7,11,4,10,8.3,7,8.0,23,7.7,0,,6.0,2,10.0,2,7.5,2,7.5,0,,8.3,0,,49,7.7,34.0,7,8.1,5,8.2,21,7.7,0,,8.0,13,7.3,15,7.5,26,8.1
3,6,1,10,0,3,3,4,5,7,6,0,7,8.1,7,6.0,19,6.9,0,,6.0,2,10.0,1,3.0,3,7.0,0,,7.1,0,,39,6.9,27.0,4,7.5,6,6.8,16,6.8,0,,7.1,9,7.3,16,6.5,23,6.9
3,4,1,12,0,5,1,4,6,10,2,2,8,7.5,12,6.3,16,6.9,0,,6.0,2,10.0,2,5.0,2,5.5,0,,6.6,0,,43,7.0,30.0,5,7.5,10,6.8,14,7.0,0,,7.1,9,7.1,19,6.7,26,6.9
3,8,1,10,0,1,0,4,5,7,9,1,8,8.1,8,7.2,16,7.3,0,,5.0,2,10.0,1,6.0,2,5.5,0,,7.7,0,,38,7.5,27.0,5,7.8,7,7.3,14,7.4,0,,7.6,8,7.8,15,7.7,21,7.5
3,5,0,12,0,1,1,3,5,11,10,2,12,7.7,9,7.8,19,7.5,0,,8.0,4,7.8,2,7.0,2,7.0,0,,7.2,0,,45,7.7,32.0,7,8.1,7,8.1,17,7.6,0,,7.9,13,7.8,18,7.6,26,7.6
3,7,1,7,0,0,0,2,6,11,6,2,10,7.7,5,7.6,17,7.4,0,,6.0,3,9.0,1,6.0,2,5.5,0,,7.5,0,,35,7.4,26.0,6,7.4,4,8.0,15,7.4,0,,7.6,9,7.6,12,7.6,22,7.5
3,3,2,8,1,2,4,4,7,6,5,1,8,7.2,8,6.4,17,6.5,0,,6.0,2,10.0,2,4.5,2,5.5,0,,6.5,0,,40,6.5,27.0,5,6.8,6,7.2,15,6.5,0,,6.9,12,6.3,16,6.7,20,6.9
3,1,0,12,0,6,1,7,2,11,11,5,9,8.7,15,7.1,23,6.9,0,,8.0,2,10.0,4,7.0,2,7.5,0,,7.8,0,,55,7.3,39.0,6,8.4,11,7.1,21,6.8,0,,7.3,16,7.4,18,6.6,30,7.1
1,24,0,10,0,3,5,6,10,15,4,4,10,8.0,19,6.1,22,6.7,0,,9.0,3,9.7,2,6.5,4,8.0,0,,7.7,0,,57,6.9,41.0,6,7.7,16,6.1,18,6.6,0,,6.7,15,7.8,19,7.4,33,6.2
