,index,sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
256,1725,38,19,4,27,0,0,3,8,11,26,27,15,46,7.9,47,7.5,15,7.1,0,,23.0,9,7.5,11,7.3,2,7.5,0,,7.3,0,,121,7.7,85.0,35,8.1,35,7.5,13,7.1,0,,7.6,49,7.7,27,7.4,46,7.5
257,1726,38,18,9,6,3,3,12,25,15,10,6,1,28,5.7,36,5.6,12,5.2,0,,19.0,6,5.0,9,4.8,3,6.0,0,,4.8,0,,90,5.3,58.0,20,5.5,26,5.9,9,5.1,0,,5.5,31,5.6,22,5.8,36,5.4
258,1727,38,16,9,101,0,3,0,3,9,22,47,62,101,9.1,82,8.3,30,8.3,1,9.0,69.0,36,8.9,19,8.9,9,8.6,0,,9.0,0,,256,8.6,155.0,62,9.1,62,8.1,21,8.0,1,9.0,8.5,84,8.8,32,7.4,90,8.3
259,1729,38,17,6,28,2,1,1,6,20,29,17,13,41,7.8,43,7.1,17,7.0,0,,27.0,8,6.4,12,7.4,5,8.6,0,,7.4,0,,123,7.3,77.0,31,8.1,30,6.9,12,6.6,0,,7.3,44,7.1,27,7.5,46,7.4
260,1730,38,15,10,18,3,2,4,12,29,27,20,7,51,7.1,50,5.7,16,6.7,0,,28.0,14,6.0,10,5.2,3,7.7,0,,5.9,0,,132,6.5,90.0,35,7.6,39,5.9,13,6.4,0,,6.7,37,6.4,26,6.2,57,6.7
261,1731,38,14,7,37,1,1,5,10,24,36,29,19,63,7.7,56,6.6,25,7.2,0,,39.0,20,7.5,14,7.4,3,8.7,0,,7.5,0,,169,7.2,107.0,41,7.6,40,6.4,22,6.9,0,,6.9,55,7.2,30,7.2,63,7.0
262,1732,38,9,5,20,3,8,5,8,23,27,19,7,45,7.7,51,6.5,19,5.5,0,,24.0,11,8.2,6,6.9,5,5.2,0,,7.0,0,,125,6.7,89.0,32,7.6,43,6.4,14,5.7,0,,6.7,42,7.6,29,6.6,54,6.0
263,1733,38,10,3,36,1,0,1,8,18,25,43,17,46,8.1,58,7.6,33,7.9,0,,28.0,13,7.3,12,7.5,2,8.5,0,,7.7,0,,152,7.9,107.0,31,8.0,44,7.6,31,7.9,0,,7.8,53,7.7,33,7.6,68,7.9
264,1734,38,13,62,31,6,16,15,21,21,16,10,3,57,4.7,64,4.5,26,3.5,0,,42.0,17,4.6,13,5.9,3,4.3,0,,5.1,0,,201,4.2,118.0,38,4.7,50,4.1,23,3.5,0,,4.1,55,4.5,30,4.9,64,4.2
265,1735,38,11,7,35,0,4,8,14,30,42,33,10,79,7.3,57,6.5,20,7.0,0,,50.0,33,7.2,11,6.3,2,8.0,0,,7.1,0,,183,7.0,107.0,44,7.3,45,6.6,18,6.9,0,,6.9,67,6.9,28,6.7,65,6.8
