sid,eid,tid,title,titleType
15,12,199002107,Jazz Perspectif,Show
15,12,199002105,"Toonces, The Cat Who Could Drive A Car",Sketch
15,12,199002108,"""Back on the Block""",Musical Performance
15,12,199002103,"""Manteca""",Musical Performance
15,12,199002104,Century 21 Marriage Counselors,Commercial
15,12,199002101,Pumping Up With Hans & Franz,Cold Opening
15,12,199002102,,Monologue
15,13,199002173,McDonald's,Commercial
15,13,199002172,,Monologue
15,13,199002177,,Weekend Update
15,13,199002176,"""Janie's Got a Gun""",Musical Performance
15,13,199002175,Tales of Ribaldry,Show
15,13,199002174,Wayne's World,Show
15,14,1990022410,"""Get Up!""",Musical Performance
15,13,199002171,Prenuptial Agreement,Cold Opening
15,14,199002248,Shuttle Launch,Sketch
15,14,199002246,,Weekend Update
15,14,1990022411,Schiller's Reel,Film
15,14,199002245,"""Pump Up The Jam""",Musical Performance
15,14,199002247,Imaginary Friend,Sketch
15,14,199002249,Lothar Of The Hill People,Sketch
15,14,199002244,The Pat Stevens Show,Show
15,14,199002243,Gun Safety,Sketch
15,15,1990031713,Randy X For Governor,Commercial
15,14,199002242,,Monologue
15,14,199002241,Church Chat,Cold Opening
15,15,1990031716,Alexander's Fur World,Commercial
15,15,1990031715,"""Body""",Musical Performance
15,15,1990031714,Helmet Head,Sketch
15,15,1990031712,Mace,Sketch
15,15,199003176,Dieter's Dance Party,Show
15,15,199003175,Governor Wade Hammond,Commercial
15,15,1990031711,The Arsenio Beckman Show,Show
15,15,1990031710,,Weekend Update
15,15,199003179,"""White City""",Musical Performance
15,15,199003178,Harbaugh,Commercial
15,15,199003177,Clearasil,Commercial
15,16,199003248,"""Pretending""",Musical Performance
15,15,199003172,,Monologue
15,15,199003174,Church Chat,Show
15,15,199003173,Irish Drinking Songs,Commercial
15,15,199003171,Dressing Room,Cold Opening
15,16,1990032411,"""Wonderful Tonight""",Musical Performance
15,16,1990032410,Satan's Album,Sketch
15,16,199003249,The White Parrot,Sketch
15,16,199003244,"Toonces, The Cat Who Could Drive A Car",Sketch
15,16,199003246,,Weekend Update
15,16,199003245,"""No Alibis""",Musical Performance
15,16,199003242,,Monologue
15,16,199003243,Wayne's World,Show
15,16,199003241,The Census,Cold Opening
15,17,199004148,Conceited Guy,Sketch
15,18,1990042110,Diner,Sketch
15,17,199004145,"""A Girl Like You""",Musical Performance
15,17,199004143,TV Lawyers,Sketch
15,17,199004142,,Monologue
15,17,199004141,Cable Shopping Network,Cold Opening
15,17,199004146,,Weekend Update
15,17,199004144,The Night Hanukkah Harry Saved Easter,Sketch
15,18,199004217,"""Cosmic Thing""",Musical Performance
15,18,199004215,The Garbo I Knew,Sketch
15,18,199004219,The Nude Talk Show,Sketch
15,18,199004213,Greenhilly,Sketch
15,18,199004218,,Weekend Update
15,18,199004212,,Monologue
15,18,199004216,Only In New York,Show
15,19,1990051211,Cool Mite,Sketch
15,19,199005127,,Weekend Update
15,18,199004211,Presidential Address,Cold Opening
15,19,199005124,TV Guide Jeers,Miscellaneous
15,19,1990051210,Protest,Miscellaneous
15,19,199005129,Talk Radio,Sketch
15,19,199005128,"Dad, What's Sex?",Show
15,19,199005126,"""Keep On Walking""",Musical Performance
15,19,199005121,Guardian Devil,Cold Opening
15,19,199005123,Diceman Employment Agency,Sketch
15,19,199005122,,Monologue
15,8,1989120913,"""When Something Is Wrong""",Musical Performance
15,8,1989120914,Swivel Chair Mystery Theatre,Sketch
15,8,1989120911,Christmas Message,Miscellaneous
15,11,1990012013,,Goodnights
15,8,1989120915,,Goodnights
15,8,1989120912,In The Middle,Show
15,8,1989120910,Sloppy Eater,Sketch
15,11,1990012012,Hardbound,Show
15,9,1989121613,,Goodnights
15,7,1989120214,,Goodnights
15,10,1990011314,,Goodnights
15,5,1989111115,,Goodnights
15,6,1989111815,,Goodnights
15,4,1989102814,,Goodnights
15,2,1989100713,,Goodnights
15,3,1989102115,,Goodnights
15,3,1989102114,Maxwell House,Commercial
15,3,1989102113,Really Ordinary People,Sketch
15,3,1989102112,"""Downeaster Alexa""",Musical Performance
15,3,1989102110,555-TOON,Commercial
15,3,198910219,Lank Thompson: I'm A Handsome Man,Show
15,3,198910218,Egg Man,Sketch
15,1,1989093014,,Goodnights
15,1,1989093011,"""Needle & The Damage Done"", ""No More""",Musical Performance
15,1,1989093013,Donahue,Commercial
15,1,1989093012,Bruce Willis: The Man and His Music,Commercial
15,1,1989093010,Sprockets,Show
15,1,198909309,New Leading Man,Sketch
15,1,198909307,"""Rockin' In The Free World""",Musical Performance
15,1,198909308,,Weekend Update
15,1,198909305,Donahue,Commercial
